"time.string","FLOW.OF.ALGAE","FLOW.OF.CO2","PAR.1","PAR.2","PRESSURE","SPEED","SUM.OF.WATER","TEMPERATURE","THICKNESS.OF.ALGAE","TURBIDITY","VOLUME.IN.TANK","pCO2","pH","pO2","TURBIDITY.diff","date","time","daily.evap","avg.daily.temp","daynight"
2023-10-02 16:20:00,13.741898,0.1611689854,29.513889,43.489586,13.057292,80.697987,251.8062,22.748844,6.0564747,0.02893517,65.880299,4.9611092,3.8363003,6.5458951,0,2023-10-02,"16:20:00",NA,NA,1
2023-10-02 16:30:00,13.673031,0.1322337972,22.395833,33.072919,13.006944,80.587595,251.8062,22.589697,5.9137877,0.026749556,65.982258,5.0276688,3.8409287,6.568898,-0.002185614,2023-10-02,"16:30:00",NA,NA,1
2023-10-02 16:40:00,13.677662,0.0905671308,14.409722,22.135416,13.00521,80.577665,251.8062,22.494212,6.0274109,0.028935166,65.529572,5.0033596,3.8409782,6.5953917,0.00218561,2023-10-02,"16:40:00",NA,NA,1
2023-10-02 16:50:00,13.813078,0.1582754554,7.2048614,12.1527779,13.100695,80.923771,251.8062,22.378472,5.9916559,0.028924892,64.211295,4.9897328,3.9273246,6.6073005,-1.02739999999976e-05,2023-10-02,"16:50:00",NA,NA,1
2023-10-02 17:00:00,13.72685,0.002893518,2.69097216,5.7291667,13.151041,80.848305,251.8062,22.239583,5.9830758,0.02893517,64.171539,5.0355867,3.9293956,6.639878,1.0277999999999e-05,2023-10-02,"17:00:00",NA,NA,1
2023-10-02 17:10:00,13.884838,0.002893518,0.52083336,3.0381943,13.197917,81.186328,251.8062,22.083334,6.012643,0.02893517,62.760766,4.7868421,3.9296709,6.669805,0,2023-10-02,"17:10:00",NA,NA,0
2023-10-02 17:20:00,13.896411,0.002893518,0,1.736111,13.21875,81.28287,251.8062,21.935763,5.9359241,0.02893517,62.3155,4.5729042,3.9293367,6.6959587,0,2023-10-02,"17:20:00",NA,NA,0
2023-10-02 17:30:00,14.091434,0.002893518,0,1.736111,13.359375,81.786488,251.8062,21.788192,5.9231176,0.02893517,60.495653,4.3988514,3.9286712,6.7256389,0,2023-10-02,"17:30:00",NA,NA,0
2023-10-02 17:40:00,14.156828,0.002893518,0,1.736111,13.390625,81.947742,251.8062,21.62905,5.9943002,0.02893517,59.393531,4.2540039,3.9268656,6.7555391,0,2023-10-02,"17:40:00",NA,NA,0
2023-10-02 17:50:00,14.063657,0.002893518,0,1.736111,13.329863,81.606724,251.8062,21.481481,6.1172218,0.02893517,59.834608,4.1235016,3.9255724,6.7832467,0,2023-10-02,"17:50:00",NA,NA,0
2023-10-02 18:00:00,14.109375,0.002893518,0,1.736111,13.361111,81.809934,251.8062,21.3397,5.9688224,0.02893517,59.144323,4.0155404,3.9253254,6.8114744,0,2023-10-02,"18:00:00",NA,NA,0
2023-10-02 18:10:00,14.120948,0.002893518,0,1.736111,13.387153,81.822365,251.8062,21.197917,6.0599289,0.02893517,59.057809,3.9200495,3.9234551,6.8370458,0,2023-10-02,"18:10:00",NA,NA,0
2023-10-02 18:20:00,14.006942,0.002893518,0,1.736111,13.376736,81.54838,251.8062,21.047452,6.0393568,0.02893517,59.549721,3.8376436,3.9245352,6.8635987,0,2023-10-02,"18:20:00",NA,NA,0
2023-10-02 18:30:00,14.026041,0.0026041662,0,1.736111,13.407985,81.608514,251.8062,20.899883,6.0250233,0.02893517,59.285546,3.7582451,3.9250179,6.8942105,0,2023-10-02,"18:30:00",NA,NA,0
2023-10-02 18:40:00,14.01794,0.002893518,0,1.736111,13.392362,81.63866,251.8062,20.743635,5.9257158,0.02893517,59.180868,3.6869177,3.9232264,6.9217864,0,2023-10-02,"18:40:00",NA,NA,0
2023-10-02 18:50:00,14.044559,0.002893518,0,1.736111,13.36632,81.679923,251.8062,20.601852,5.9826755,0.02893517,58.655851,3.6234702,3.921297,6.9506682,0,2023-10-02,"18:50:00",NA,NA,0
2023-10-02 19:00:00,14.012153,0.002893518,0,1.736111,13.388887,81.546631,251.8062,20.465858,5.9856381,0.02893517,58.690463,3.5628552,3.9209288,6.9765209,0,2023-10-02,"19:00:00",NA,NA,0
